code,description
191632009,"Bipolar affective disorder, currently depressed, severe, with psychosis (disorder)"
191634005,"Bipolar affective disorder, currently depressed, in full remission (disorder)"
467361000000105,"[X] Manic-depressive psychosis, depressed type without psychotic symptoms (disorder)"
765176007,Psychosis and severe depression co-occurrent and due to bipolar affective disorder (disorder)
1089661000000104,Mania with mood-congruent psychotic features (disorder)
1089671000000106,Mania with mood-incongruent psychotic features (disorder)
1089681000000108,Mania with psychotic features (disorder)
13746004,Bipolar disorder (disorder)
1499003,"Bipolar I disorder, single manic episode with postpartum onset (disorder)"
16238741000119105,Bipolar disorder caused by drug (disorder)
191583000,"Single manic episode, mild (disorder)"
191584006,"Single manic episode, moderate (disorder)"
191586008,"Single manic episode, severe, with psychosis (disorder)"
191590005,Recurrent manic episodes (disorder)
191597008,"Recurrent manic episodes, in full remission (disorder)"
191618007,"Bipolar affective disorder, current episode manic (disorder)"
191620005,"Bipolar affective disorder, currently manic, mild (disorder)"
191625000,"Bipolar affective disorder, currently manic, in full remission (disorder)"
191630001,"Bipolar affective disorder, currently depressed, moderate (disorder)"
191638008,"Mixed bipolar affective disorder, mild (disorder)"
191641004,"Mixed bipolar affective disorder, severe, with psychosis (disorder)"
191643001,"Mixed bipolar affective disorder, in full remission (disorder)"
191658009,Atypical manic disorder (disorder)
192362008,"Bipolar affective disorder, current episode mixed (disorder)"
231496004,Hypomania (disorder)
268619003,"Manic disorder, single episode (disorder)"
28663008,Severe manic bipolar I disorder with psychotic features (disorder)
371596008,Bipolar I disorder (disorder)
53049002,Severe bipolar disorder without psychotic features (disorder)
53607008,Depressed bipolar I disorder in remission (disorder)
55516002,"Bipolar I disorder, most recent episode manic with postpartum onset (disorder)"
63249007,Manic bipolar I disorder in partial remission (disorder)
764591000000108,"Mixed bipolar affective disorder, severe (disorder)"
764621000000106,"Recurrent manic episodes, severe (disorder)"
767632000,"Bipolar disorder, most recent episode manic (disorder)"
767633005,"Bipolar affective disorder, most recent episode mixed (disorder)"
79584002,Moderate bipolar disorder (disorder)
87950005,"Bipolar I disorder, single manic episode with catatonic features (disorder)"
111485001,Mixed bipolar I disorder in full remission (disorder)
13313007,Mild bipolar disorder (disorder)
162004,Severe manic bipolar I disorder without psychotic features (disorder)
16506000,Mixed bipolar I disorder (disorder)
17782008,"Bipolar I disorder, most recent episode manic with catatonic features (disorder)"
191588009,Single manic episode in full remission (disorder)
191592002,"Recurrent manic episodes, mild (disorder)"
191593007,"Recurrent manic episodes, moderate (disorder)"
191595000,"Recurrent manic episodes, severe, with psychosis (disorder)"
191621009,"Bipolar affective disorder, currently manic, moderate (disorder)"
191623007,"Bipolar affective disorder, currently manic, severe, with psychosis (disorder)"
191627008,"Bipolar affective disorder, current episode depression (disorder)"
191629006,"Bipolar affective disorder, currently depressed, mild (disorder)"
191636007,Mixed bipolar affective disorder (disorder)
191639000,"Mixed bipolar affective disorder, moderate (disorder)"
231494001,Mania (disorder)
231495000,Manic stupor (disorder)
31446002,"Bipolar I disorder, most recent episode hypomanic (disorder)"
41836007,Bipolar disorder in full remission (disorder)
4441000,Severe bipolar disorder with psychotic features (disorder)
61403008,Severe depressed bipolar I disorder without psychotic features (disorder)
760721000000109,"Mixed bipolar affective disorder, in partial remission (disorder)"
764641000000104,"Single manic episode, severe (disorder)"
764671000000105,"Recurrent manic episodes, in partial remission (disorder)"
764681000000107,"Recurrent manic episodes, in remission (disorder)"
764731000000103,Single manic episode in partial remission (disorder)
764741000000107,Single manic episode in remission (disorder)
767631007,"Bipolar disorder, most recent episode depression (disorder)"
767635003,"Bipolar I disorder, most recent episode manic (disorder)"
767636002,"Bipolar I disorder, most recent episode depression (disorder)"
789061003,Rapid cycling bipolar II disorder (disorder)
83225003,Bipolar II disorder (disorder)
85248005,Bipolar disorder in remission (disorder)
