code,description
10335000,Chronic right-sided heart failure (disorder)
10633002,Acute congestive heart failure
111283005,Chronic left-sided heart failure (disorder)
1204200007,Left ventricular failure with normal ejection fraction due to valvular heart disease (disorder)
1204203009,Left ventricular failure with normal ejection fraction due to coronary arteriosclerosis (disorder)
1204204003,Left ventricular failure with normal ejection fraction due to myocarditis (disorder)
1204206001,Left ventricular failure with normal ejection fraction due to cardiomyopathy (disorder)
1204462004,Left ventricular failure with sepsis (disorder)
1204468000,Right ventricular failure with sepsis (disorder)
1208843003,Right ventricular failure due to heart valve disorder (disorder)
1208846006,Right ventricular failure due to disorder of lung (disorder)
1208848007,Right ventricular failure due to disorder of pulmonary circulation (disorder)
1208850004,Right ventricular failure due to right ventricular infarction (disorder)
128404006,Right heart failure
134401001,Left ventricular systolic dysfunction
153941000119100,Chronic combined systolic and diastolic heart failure (disorder)
16838951000119100,Acute on chronic right-sided congestive heart failure (disorder)
194767001,Benign hypertensive heart disease with congestive cardiac failure
194779001,Hypertensive heart and renal disease with (congestive) heart failure
194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
195111005,Decompensated cardiac failure
195112003,Compensated cardiac failure
195114002,Acute left ventricular failure
206586007,Congenital cardiac failure
233924009,Heart failure as a complication of care (disorder)
275514001,Impaired left ventricular function
314206003,Refractory heart failure (disorder)
367363000,Right ventricular failure
407596008,Echocardiogram shows left ventricular systolic dysfunction (finding)
420300004,New York Heart Association Classification - Class I (finding)
420913000,New York Heart Association Classification - Class III (finding)
421704003,New York Heart Association Classification - Class II (finding)
422293003,New York Heart Association Classification - Class IV (finding)
42343007,Congestive heart failure
426263006,Congestive heart failure due to left ventricular systolic dysfunction (disorder)
426611007,Congestive heart failure due to valvular disease (disorder)
430396006,Chronic systolic dysfunction of left ventricle (disorder)
43736008,Rheumatic left ventricular failure
441481004,Chronic systolic heart failure (disorder)
441530006,Chronic diastolic heart failure (disorder)
446221000,Heart failure with normal ejection fraction (disorder)
48447003,Chronic heart failure (disorder)
5375005,Chronic left-sided congestive heart failure (disorder)
56675007,Acute heart failure
66989003,Chronic right-sided congestive heart failure (disorder)
698592004,Asymptomatic left ventricular systolic dysfunction (disorder)
703272007,Heart failure with reduced ejection fraction (disorder)
71892000,Cardiac asthma
788950000,Heart failure with mid range ejection fraction (disorder)
79955004,Chronic cor pulmonale
82523003,Congestive rheumatic heart failure (disorder)
83105008,Malignant hypertensive heart disease with congestive heart failure
84114007,Heart failure
85232009,Left heart failure
871617000,Low output heart failure due to and following Fontan operation (disorder)
87837008,Chronic pulmonary heart disease
88805009,Chronic congestive heart failure
898208007,Heart failure due to thyrotoxicosis (disorder)
92506005,Biventricular congestive heart failure
