code,description
84760002,"Schizoaffective disorder, depressive type (disorder)"
231485007,Post-schizophrenic depression (disorder)
1089481000000106,Cataleptic schizophrenia (disorder)
111482003,Subchronic schizophrenia with acute exacerbations (disorder)
111483008,Catatonic schizophrenia in remission (disorder)
111484002,Undifferentiated schizophrenia (disorder)
191530008,Acute exacerbation of subchronic schizophrenia (disorder)
191531007,Acute exacerbation of chronic schizophrenia (disorder)
191542003,Catatonic schizophrenia (disorder)
191554003,Acute exacerbation of subchronic paranoid schizophrenia (disorder)
191559008,Latent schizophrenia (disorder)
191563001,Acute exacerbation of subchronic latent schizophrenia (disorder)
191564007,Acute exacerbation of chronic latent schizophrenia (disorder)
191567000,Schizoaffective schizophrenia (disorder)
191569002,Subchronic schizoaffective schizophrenia (disorder)
191571002,Acute exacerbation of subchronic schizoaffective schizophrenia (disorder)
191572009,Acute exacerbation of chronic schizoaffective schizophrenia (disorder)
191574005,Schizoaffective schizophrenia in remission (disorder)
26025008,Residual schizophrenia (disorder)
268617001,Acute schizophrenic episode (disorder)
271428004,"Schizoaffective disorder, manic type (disorder)"
29599000,Chronic undifferentiated schizophrenia (disorder)
30336007,Chronic residual schizophrenia with acute exacerbations (disorder)
31658008,Chronic paranoid schizophrenia (disorder)
35218008,Chronic disorganized schizophrenia with acute exacerbation (disorder)
38368003,"Schizoaffective disorder, bipolar type (disorder)"
39610001,Undifferentiated schizophrenia in remission (disorder)
416340002,Late onset schizophrenia (disorder)
42868002,Subchronic catatonic schizophrenia (disorder)
51133006,Residual schizophrenia in remission (disorder)
58214004,Schizophrenia (disorder)
64905009,Paranoid schizophrenia (disorder)
68890003,Schizoaffective disorder (disorder)
71103003,Chronic residual schizophrenia (disorder)
76566000,Subchronic residual schizophrenia (disorder)
79204003,Chronic undifferentiated schizophrenia with acute exacerbations (disorder)
83746006,Chronic schizophrenia (disorder)
88975006,Schizophreniform disorder (disorder)
12939007,Chronic disorganized schizophrenia (disorder)
14291003,Subchronic disorganized schizophrenia with acute exacerbations (disorder)
16990005,Subchronic schizophrenia (disorder)
191526005,Schizophrenic disorders (disorder)
191527001,Simple schizophrenia (disorder)
191538001,Acute exacerbation of subchronic hebephrenic schizophrenia (disorder)
191539009,Acute exacerbation of chronic hebephrenic schizophrenia (disorder)
191547009,Acute exacerbation of subchronic catatonic schizophrenia (disorder)
191548004,Acute exacerbation of chronic catatonic schizophrenia (disorder)
191555002,Acute exacerbation of chronic paranoid schizophrenia (disorder)
191561004,Subchronic latent schizophrenia (disorder)
191562006,Chronic latent schizophrenia (disorder)
191565008,Latent schizophrenia in remission (disorder)
191570001,Chronic schizoaffective schizophrenia (disorder)
191577003,Cenesthopathic schizophrenia (disorder)
270901009,"Schizoaffective disorder, mixed type (disorder)"
27387000,Subchronic disorganized schizophrenia (disorder)
31373002,Disorganized schizophrenia in remission (disorder)
35252006,Disorganized schizophrenia (disorder)
4926007,Schizophrenia in remission (disorder)
63181006,Paranoid schizophrenia in remission (disorder)
68995007,Chronic catatonic schizophrenia (disorder)
7025000,Subchronic undifferentiated schizophrenia with acute exacerbations (disorder)
70814008,Subchronic residual schizophrenia with acute exacerbations (disorder)
79866005,Subchronic paranoid schizophrenia (disorder)
85861002,Subchronic undifferentiated schizophrenia (disorder)
