code,description
107557061000119108,Cerebrovascular accident due to embolism of bilateral anterior cerebral arteries (disorder)
1078001000000105,Haemorrhagic stroke (disorder)
1089411000000104,Cerebral infarction due to occlusion of cerebral artery (disorder)
1089421000000105,Cerebral infarction due to stenosis of cerebral artery (disorder)
1153543002,Occlusion of anterior cerebral artery (disorder)
1153544008,Occlusion of right anterior cerebral artery (disorder)
1153545009,Occlusion of left anterior cerebral artery (disorder)
1153546005,Occlusion of bilateral posterior cerebral arteries (disorder)
1153607003,Occlusion of right posterior communicating artery (disorder)
1153608008,Occlusion of left posterior communicating artery (disorder)
1153611009,Embolism of left anterior cerebral artery (disorder)
1153612002,Embolism of right anterior cerebral artery (disorder)
1153630009,Embolism of left carotid artery (disorder)
1153631008,Embolism of right carotid artery (disorder)
1153632001,Embolism of bilateral middle cerebral arteries (disorder)
1153633006,Embolism of bilateral posterior cerebral arteries (disorder)
1153634000,Embolism of bilateral anterior cerebral arteries (disorder)
1153638002,Occlusion of bilateral cerebellar arteries (disorder)
1155688007,Embolism of bilateral carotid arteries (disorder)
1155689004,Embolism of bilateral cerebellar arteries (disorder)
1155697006,Embolism of left vertebral artery (disorder)
1155698001,Embolism of right vertebral artery (disorder)
1155699009,Embolism of bilateral vertebral arteries (disorder)
1156016006,Thrombosis of left posterior cerebral artery (disorder)
1156017002,Thrombosis of right posterior cerebral artery (disorder)
1156018007,Thrombosis of left cerebellar artery (disorder)
1156019004,Thrombosis of right cerebellar artery (disorder)
1156027008,Thrombus of dural sinus in pregnancy (disorder)
1156029006,Thrombus of dural sinus in puerperium (disorder)
1163482004,Hemorrhagic cerebral infarction caused by Aspergillus (disorder)
117776611000119102,Cerebrovascular accident due to occlusion of left posterior communicating artery (disorder)
1204202004,Occlusion of cerebral artery due to infection (disorder)
12204031000119101,Cerebrovascular accident following procedure on heart (disorder)
1231168008,Malignant middle cerebral artery syndrome (disorder)
125081000119106,Cerebral infarction due to occlusion of precerebral artery
1260271009,Hemorrhagic cerebral infarction due to hypertension (disorder)
1263550001,Infarction of brain due to migraine (disorder)
1269237007,Cerebrovascular accident due to thrombosis of anterior cerebral artery (disorder)
1269238002,Thrombosis of anterior cerebral artery (disorder)
1269239005,Thrombosis of left anterior cerebral artery (disorder)
1269240007,Thrombosis of right anterior cerebral artery (disorder)
1269243009,Thrombosis of bilateral carotid arteries (disorder)
1269244003,Thrombosis of bilateral cerebellar arteries (disorder)
1269245002,Thrombosis of bilateral posterior cerebral arteries (disorder)
1269246001,Thrombosis of bilateral vertebral arteries (disorder)
1269248000,Cerebrovascular accident due to occlusion of anterior choroidal artery (disorder)
137592291000119101,Acute cerebrovascular accident due to occlusion of right posterior cerebral artery (disorder)
140921000119102,Ischaemic stroke without coma
14309005,Anterior choroidal artery syndrome (disorder)
152148641000119104,Cerebrovascular accident due to embolism of bilateral carotid arteries (disorder)
15978431000119106,Thrombosis of right vertebral artery (disorder)
16000351000119109,Cerebrovascular accident due to occlusion of left posterior cerebral artery (disorder)
16000391000119104,Cerebrovascular accident due to occlusion of right posterior cerebral artery (disorder)
16000431000119109,Cerebrovascular accident due to occlusion of right middle cerebral artery (disorder)
16000511000119103,Cerebrovascular accident due to occlusion of left middle cerebral artery (disorder)
16002031000119102,Cerebrovascular accident due to thrombus of right middle cerebral artery (disorder)
16002111000119106,Cerebrovascular accident due to thrombus of left middle cerebral artery (disorder)
16023751000119106,Occlusion of left anterior choroidal artery (disorder)
16023831000119107,Occlusion of right anterior choroidal artery (disorder)
16023911000119108,Cerebrovascular accident due to occlusion of right carotid artery (disorder)
16023951000119109,Cerebrovascular accident due to occlusion of left anterior choroidal artery (disorder)
16024071000119102,Cerebrovascular accident due to occlusion of right anterior choroidal artery (disorder)
16024111000119109,Cerebrovascular accident due to occlusion of left carotid artery (disorder)
16024151000119105,Cerebrovascular accident due to occlusion of left cerebellar artery (disorder)
16024271000119107,Cerebrovascular accident due to occlusion of right cerebellar artery (disorder)
16026951000119102,Cerebrovascular accident due to stenosis of right carotid artery (disorder)
16026991000119107,Cerebrovascular accident due to stenosis of left carotid artery (disorder)
16371781000119100,Cerebellar stroke (disorder)
16644541000119106,Cerebrovascular accident due to occlusion of bilateral carotid arteries (disorder)
16644681000119102,Cerebrovascular accident due to occlusion of bilateral pontine arteries (disorder)
16661931000119102,Cerebrovascular accident due to stenosis of bilateral vertebral arteries (disorder)
16661971000119104,Cerebrovascular accident due to stenosis of bilateral carotid arteries (disorder)
168747591000119109,Cerebrovascular accident due to embolism of bilateral posterior cerebral arteries (disorder)
16891111000119104,Cryptogenic stroke (disorder)
182960891000119101,Cerebrovascular accident due to occlusion of left anterior cerebral artery (disorder)
188174841000119103,Cerebrovascular accident due to occlusion of bilateral middle cerebral arteries (disorder)
195165005,Basal ganglia hemorrhage
195167002,External capsule hemorrhage
195168007,"Intracerebral haemorrhage, intraventricular"
195169004,"Intracerebral hemorrhage, multiple localized"
195185009,Cerebral infarct due to thrombosis of precerebral arteries
195186005,Cerebral infarction due to embolism of precerebral arteries
